,disco_35_0,disco_35_1,disco_35_2,ssim_35_0,ssim_35_1,ssim_35_2,pearson_35_0,pearson_35_1,pearson_35_2,psnr_35_0,psnr_35_1,psnr_35_2,hicrep_34_0,hicrep_34_1,hicrep_34_2
140,0.89643,0.88779,0.87995,0.94058,0.90859,0.88731,0.9637,0.93582,0.93391,33.51188,34.94571,33.48318,0.82437,0.75277,0.68659
141,0.89578,0.888,0.88075,0.94063,0.90904,0.88799,0.96374,0.93574,0.93401,33.52109,34.96356,33.46705,0.82504,0.75828,0.69003
142,0.89618,0.88755,0.88051,0.94064,0.90912,0.88864,0.96375,0.9362,0.93438,33.51721,34.96613,33.51456,0.81931,0.74807,0.6909
143,0.89625,0.88772,0.87886,0.94076,0.90912,0.88591,0.96386,0.93577,0.93366,33.53141,34.95438,33.36046,0.82168,0.75065,0.68345
144,0.89608,0.88728,0.87928,0.94069,0.90959,0.889,0.96391,0.93633,0.93404,33.5191,34.95044,33.54306,0.82304,0.75327,0.6862
145,0.89603,0.8863,0.88037,0.94059,0.90872,0.88608,0.96374,0.93531,0.93347,33.51631,34.92956,33.3768,0.82415,0.74628,0.67784
146,0.89589,0.88702,0.87849,0.94051,0.90939,0.88836,0.96376,0.93628,0.93391,33.48779,34.93868,33.49865,0.82174,0.74421,0.67717
147,0.89644,0.88761,0.88058,0.94067,0.90877,0.88772,0.96383,0.93589,0.93407,33.53813,34.94671,33.45805,0.82479,0.74955,0.68351
148,0.89629,0.88703,0.87872,0.94079,0.9081,0.88844,0.96382,0.93593,0.93412,33.53525,34.89249,33.49698,0.82542,0.74936,0.6889
149,0.89587,0.88749,0.87926,0.94076,0.90865,0.88665,0.96383,0.93574,0.93379,33.52494,34.93877,33.42537,0.82534,0.75421,0.67854
150,0.89605,0.88789,0.88087,0.94067,0.90977,0.88952,0.96363,0.93633,0.93434,33.47554,34.94951,33.55937,0.82177,0.74775,0.688
151,0.89632,0.88756,0.88031,0.94079,0.90864,0.88594,0.96373,0.93561,0.93342,33.54117,34.94469,33.35985,0.82842,0.75742,0.69212
152,0.89614,0.88776,0.88009,0.94075,0.90905,0.88712,0.96377,0.9359,0.93369,33.51209,34.94212,33.42079,0.82463,0.75289,0.68059
153,0.89683,0.88722,0.87985,0.94111,0.90892,0.88827,0.96394,0.93589,0.93403,33.57771,34.94433,33.50129,0.82511,0.75171,0.67911
154,0.89661,0.88811,0.88042,0.9411,0.90974,0.88914,0.964,0.93627,0.93461,33.54876,35.00208,33.53569,0.82413,0.75761,0.69238
